2026-05-26 12:21:20.223,":trafikverket-logo: [Vimmerby kommun] [14:19] *Trafikstörning på Väg 23 mellan Näshult och Vagelhem*
En trafikstörning har rapporterats på Väg 23 från Näshult till Vagelhem i riktning mot Kisa i Vimmerby kommun, Kalmar län. Påverkan på trafiken bedöms som liten och gäller en riktning.
Koordinater: 57.7783553090273, 15.7662438121379
google.com/maps?q=57.7783553090273,15.7662438121379&ll=57.7783553090273,15.7662438121379&z=13&t=h"
2026-05-26 12:21:20.190,":trafikverket-logo: [Vimmerby kommun] [14:19] *Trafikstörning på Väg 23 mellan Näshult och Vagelhem*
En trafikstörning har rapporterats på Väg 23 från Näshult till Vagelhem i riktning mot Kisa i Vimmerby kommun, Kalmar län. Påverkan på trafiken bedöms som liten och gäller en riktning.
Koordinater: 57.7783553090273, 15.7662438121379
google.com/maps?q=57.7783553090273,15.7662438121379&ll=57.7783553090273,15.7662438121379&z=13&t=h"
2026-05-26 12:21:20.138,":trafikverket-logo: [Vimmerby kommun] [14:19] *Trafikstörning på Väg 23 mellan Näshult och Vagelhem*
En trafikstörning har rapporterats på Väg 23 från Näshult till Vagelhem i riktning mot Kisa i Vimmerby kommun, Kalmar län. Påverkan på trafiken bedöms som liten och gäller en riktning.
Koordinater: 57.7783553090273, 15.7662438121379
google.com/maps?q=57.7783553090273,15.7662438121379&ll=57.7783553090273,15.7662438121379&z=13&t=h"
2026-05-26 12:21:14.490,":trafikverket-logo: [Umeå] [14:18] *Trafikolycka på Väg 364 utanför Umeå*
En personbil har kört av vägen på Väg 364 mellan Flurkmark Ö och Mjötjärnen i Umeå kommun, Västerbottens län. Olyckan medför begränsad framkomlighet och ett körfält är blockerat i båda riktningarna. Påverkan på trafiken bedöms som liten enligt Trafikverket.
Koordinater: 64.0303562809547, 20.2394778671938
google.com/maps?q=64.0303562809547,20.2394778671938&ll=64.0303562809547,20.2394778671938&z=13&t=h"
2026-05-26 12:20:54.028,":sos: [Umeå] [14:14] *Trafikolycka - singelolycka med personbil*
En trafikolycka med en personbil har inträffat på Väg 364 i Flurkmark, Umeå kommun, Västerbottens län. Olyckan skedde på en mötesfri väg under tisdagseftermiddagen. Larmet har låg prioritet enligt SOS Alarm.
Koordinater: 63.9954, 20.244
<https://google.com/maps?q=63.9954,20.244&ll=63.9954,20.244&z=13&t=h|Visa på karta>"
2026-05-26 12:19:23.003,":trafikverket-logo: [Åtvidaberg] [14:11] *Beläggningsarbete på Väg 744 med mycket stor påverkan*
Under tisdagen, med start kl. 14:11, har ett beläggningsarbete påbörjats på Väg 744 från Falerum Ö till Västra Tryserum i Åtvidaberg, Östergötlands län. Trafiken regleras med trafikljus eller vakt och lots förbi arbetsplatsen. Stenskott kan förekomma. Ett körfält är blockerat och arbetet påverkar båda riktningarna. Arbetet beräknas pågå till den 17 juli 2026 kl. 16:00. Påverkan på trafiken är mycket stor.
Koordinater: 58.1495143619994, 16.2221577578937
google.com/maps?q=58.1495143619994,16.2221577578937&ll=58.1495143619994,16.2221577578937&z=13&t=h"
2026-05-26 12:19:21.016,":sos: [Umeå] [14:14] *Trafikolycka - singelolycka med personbil*
En trafikolycka med en personbil har inträffat på en väg i Umeå kommun under tisdagseftermiddagen. Olyckan har skett på Väg 364, som är en mötesfri väg. Händelsen har låg prioritet enligt SOS Alarm.
Koordinater: 63.9954, 20.244
<https://google.com/maps?q=63.9954,20.244&ll=63.9954,20.244&z=13&t=h>"
2026-05-26 12:19:18.302,":trafikverket-logo: [Jönköping] [14:14] *Hinder på E4 – påse på vägen mellan Österängen och Huskvarna S*
Ett körfält är blockerat i riktning mot Ljungby på E4 mellan Trafikplats Huskvarna S och Trafikplats Österängen på grund av en påse som ligger på vägen. Detta medför mindre påverkan på trafiken enligt Trafikverket.
Koordinater: 57.7877604872061, 14.2427737849337
google.com/maps?q=57.7877604872061,14.2427737849337&ll=57.7877604872061,14.2427737849337&z=13&t=h"
2026-05-26 12:19:18.211,":trafikverket-logo: [Jönköping] [14:14] *Hinder på E4 – påse på vägen mellan Österängen och Huskvarna S*
Ett körfält är blockerat i riktning mot Ljungby på E4 mellan Trafikplats Huskvarna S och Trafikplats Österängen på grund av en påse som ligger på vägen. Detta medför mindre påverkan på trafiken enligt Trafikverket.
Koordinater: 57.7877604872061, 14.2427737849337
google.com/maps?q=57.7877604872061,14.2427737849337&ll=57.7877604872061,14.2427737849337&z=13&t=h"
2026-05-26 12:19:18.120,":trafikverket-logo: [Jönköping] [14:14] *Hinder på E4 – påse på vägen mellan Österängen och Huskvarna S*
Ett körfält är blockerat i riktning mot Ljungby på E4 mellan Trafikplats Huskvarna S och Trafikplats Österängen på grund av en påse som ligger på vägen. Detta medför mindre påverkan på trafiken enligt Trafikverket.
Koordinater: 57.7877604872061, 14.2427737849337
google.com/maps?q=57.7877604872061,14.2427737849337&ll=57.7877604872061,14.2427737849337&z=13&t=h"
