arm,k,question_id,type,metric,value
vector,50,FlowForce::a::3,person,context_precision_id,0.0
vector,50,FlowForce::a::3,person,context_recall_id,0.0
vector,50,FlowForce::a::3,person,context_precision_nonllm,0.0
vector,50,FlowForce::a::3,person,context_recall_nonllm,0.0
vector,50,FlowForce::a::3,person,string_similarity,0.10399999999999998
vector,50,FlowForce::a::3,person,bleu,0.0
vector,50,FlowForce::a::3,person,rouge,0.0
vector,50,FlowForce::a::3,person,chrf,0.08716156279175621
vector,50,FlowForce::a::3,person,exact_match,0.0
vector,50,FlowForce::a::3,person,string_presence,0.0
vector,50,InsightForce::a::5,content,context_precision_id,0.1
vector,50,InsightForce::a::5,content,context_recall_id,0.17857142857142858
vector,50,InsightForce::a::5,content,context_precision_nonllm,0.1472874579100031
vector,50,InsightForce::a::5,content,context_recall_nonllm,0.17857142857142858
vector,50,InsightForce::a::5,content,string_similarity,0.21413276231263378
vector,50,InsightForce::a::5,content,bleu,0.020705706652424008
vector,50,InsightForce::a::5,content,rouge,0.19047619047619047
vector,50,InsightForce::a::5,content,chrf,0.45782009572966686
vector,50,InsightForce::a::5,content,exact_match,0.0
vector,50,InsightForce::a::5,content,string_presence,0.0
vector,50,KnowledgeForce::a::4,content,context_precision_id,0.1
vector,50,KnowledgeForce::a::4,content,context_recall_id,0.38461538461538464
vector,50,KnowledgeForce::a::4,content,context_precision_nonllm,0.2531724980271674
vector,50,KnowledgeForce::a::4,content,context_recall_nonllm,0.38461538461538464
vector,50,KnowledgeForce::a::4,content,string_similarity,0.21498371335504884
vector,50,KnowledgeForce::a::4,content,bleu,0.012943815027626758
vector,50,KnowledgeForce::a::4,content,rouge,0.11428571428571428
vector,50,KnowledgeForce::a::4,content,chrf,0.1946082462089804
vector,50,KnowledgeForce::a::4,content,exact_match,0.0
vector,50,KnowledgeForce::a::4,content,string_presence,0.0
vector,50,LeadForce::a::5,content,context_precision_id,0.0
vector,50,LeadForce::a::5,content,context_recall_id,0.0
vector,50,LeadForce::a::5,content,context_precision_nonllm,0.0
vector,50,LeadForce::a::5,content,context_recall_nonllm,0.0
vector,50,LeadForce::a::5,content,string_similarity,0.23676880222841223
vector,50,LeadForce::a::5,content,bleu,0.027247931978069365
vector,50,LeadForce::a::5,content,rouge,0.13333333333333333
vector,50,LeadForce::a::5,content,chrf,0.26989278080561613
vector,50,LeadForce::a::5,content,exact_match,0.0
vector,50,LeadForce::a::5,content,string_presence,0.0
vector,50,MonitorForce::a::5,pr,context_precision_id,0.02
vector,50,MonitorForce::a::5,pr,context_recall_id,0.0625
vector,50,MonitorForce::a::5,pr,context_precision_nonllm,0.7499999999625
vector,50,MonitorForce::a::5,pr,context_recall_nonllm,0.0625
vector,50,MonitorForce::a::5,pr,string_similarity,0.08059701492537319
vector,50,MonitorForce::a::5,pr,bleu,0.0
vector,50,MonitorForce::a::5,pr,rouge,0.03389830508474577
vector,50,MonitorForce::a::5,pr,chrf,0.097220935245683
